account,offer_id,product_id,status_name,status_descr,is_selling,first_seen,code,attribute_id,attribute_name,field,description,brands_in_name,name,what_to_fix
oz_acc1,1868X10,5706205786,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,22508,Общие недочеты,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-41 BK (10 шт.) на 25000 страниц для принтеров Ricoh Aficio SG2100N, SG3100SNw, SG3110 DNw, SG7100",вычистить названия чужих брендов из хештегов
oz_acc1,1868X10,5706205786,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,22508,Общие недочеты,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-41 BK (10 шт.) на 25000 страниц для принтеров Ricoh Aficio SG2100N, SG3100SNw, SG3110 DNw, SG7100",вычистить названия чужих брендов из хештегов
oz_acc1,1868X2,5706205450,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,22508,Общие недочеты,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-41 BK (2 шт.) на 5000 страниц для принтеров Ricoh Aficio SG2100N, SG3100SNw, SG3110 DNw, SG7100",вычистить названия чужих брендов из хештегов
oz_acc1,1868X2,5706205450,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,22508,Общие недочеты,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-41 BK (2 шт.) на 5000 страниц для принтеров Ricoh Aficio SG2100N, SG3100SNw, SG3110 DNw, SG7100",вычистить названия чужих брендов из хештегов
oz_acc1,1868X6,5706206790,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,22508,Общие недочеты,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-41 BK (6 шт.) на 15000 страниц для принтеров Ricoh Aficio SG2100N, SG3100SNw, SG3110 DNw, SG7100",вычистить названия чужих брендов из хештегов
oz_acc1,1868X6,5706206790,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,22508,Общие недочеты,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-41 BK (6 шт.) на 15000 страниц для принтеров Ricoh Aficio SG2100N, SG3100SNw, SG3110 DNw, SG7100",вычистить названия чужих брендов из хештегов
oz_acc1,2709X10,5787503433,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,23171,#Хештеги,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-31KH (10 шт.) на 19200 страниц для принтеров Ricoh Aficio 3300, 3350, 5550N, 7700, GXe2600",вычистить названия чужих брендов из хештегов
oz_acc1,2709X2,5787504137,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,23171,#Хештеги,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-31KH (2 шт.) на 3840 страниц для принтеров Ricoh Aficio 3300, 3350, 5550N, 7700, GXe2600",вычистить названия чужих брендов из хештегов
oz_acc1,2709X6,5787503798,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,23171,#Хештеги,,"Хештег: удалите названия всех брендов, не связанных с товаром",Ricoh,"Комплект картриджей GC-31KH (6 шт.) на 11520 страниц для принтеров Ricoh Aficio 3300, 3350, 5550N, 7700, GXe2600",вычистить названия чужих брендов из хештегов
oz_acc1,4343X10,5721282233,Не продается,Не создан,False,2026-08-22 19:27:00+00:00,BR_hashtag_brand,22508,Общие недочеты,,"Хештег: удалите названия всех брендов, не связанных с товаром",Kyocera,"Комплект картриджей MK-4105 (10 шт.) на 1500000 страниц для принтеров Kyocera TASKalfa 1800, TASKalfa1801",вычистить названия чужих брендов из хештегов
